abides;пребывает;əˈbaɪdz;
above;выше;əˈbəv;
abuse;злоупотреблять;əˈbjuz;
accomplish;выполнить;əˈkɑmplɪʃ;
accountability;ответственность;əˈkaʊntəˌbɪlɪti;
accounting;бухгалтерский учет;əˈkaʊnɪŋ;
achieve;достигать;əˈʧiv;
achieved;достигнуто;əˈʧivd;
ack;подтверждать;æk;
acknowledgement;подтверждение;ækˈnɑlɪʤmənt;
acknowledgment;подтверждение;ækˈnɑlɪʤmənt;
acquiring;приобретение;əkˈwaɪərɪŋ;
across;через;əˈkrɔs;
act;действовать;ækt;
actively;активно;ˈæktɪvli;
actor;актер;ˈæktər;
actors;актеры;ˈæktərz;
acts;действует;ækts;
adhere;придерживаться;əˈdhɪr;
adjacent;соседний;əˈʤeɪsənt;
adoption;принятие;əˈdɑpʃən;
advancements;достижения;ədˈvænsmənts;
against;против;əˈgɛnst;
ailing;больной;ˈeɪlɪŋ;
aim;цель;eɪm;
akin;сродни;ˈeɪkɪn;
allotted;выделенный;əˈlɑtɪd;
almost;почти;ˈɔlˌmoʊst;
along;вдоль;əˈlɔŋ;
alter;изменить;ˈɔltər;
alteration;изменение;ˌɔltərˈeɪʃən;
altered;изменен;ˈɔltərd;
altering;изменение;ˈɔltərɪŋ;
although;хотя;ˌɔlˈðoʊ;
ambitious;амбициозный;æmˈbɪʃəs;
ameliorate;улучшать;əˈmiljərˌeɪt;
among;среди;əˈməŋ;
amongst;среди;əˈməŋst;
amount;количество;əˈmaʊnt;
antminer;Antminer;antminer*;
any;любой;ˈɛni;
anyone;кто-нибудь;ˈɛniˌwən;
apart;отдельно;əˈpɑrt;
apologized;извинился;əˈpɑləˌʤaɪzd;
appeal;обращаться;əˈpil;
appear;появляться;əˈpɪr;
approach;подход;əˈproʊʧ;
appropriately;соответственно;əˈproʊpriɪtli;
arbitrary;произвольный;ˈɑrbɪˌtrɛri;
archiving;архивирование;archiving*;
aren;радость;ˈɑrən;
argue;спорить;ˈɑrgju;
around;вокруг;əraʊnd;
art;Изобразительное искусство;ɑrt;
artwork;произведение искусства;ˈɑrtˌwərk;
asics;asics;ˈæzɪks;
aside;в стороне;əˈsaɪd;
asset;актив;ˈæˌsɛt;
assets;ресурсы;ˈæˌsɛts;
assume;предполагать;əˈsum;
assumption;предположение;əˈsəmpʃən;
assure;гарантировать;əˈʃʊr;
asterisk;звездочка;ˈæstərɪsk;
attenuating;ослабление;attenuating*;
attenuation;затухание;attenuation*;
attenuators;аттенюаторы;attenuators*;
attest;засвидетельствовать;əˈtɛst;
attractors;аттракторы;attractors*;
authenticity;подлинность;ˌɔθənˈtɪsɪti;
authority;власть;əˈθɔrəti;
autonomous;автономный;ɔˈtɑnəməs;
avoid;избегать;əˈvɔɪd;
awaited;ждал;əˈweɪtɪd;
awarded;награжден;əˈwɔrdɪd;
awards;награды;əˈwɔrdz;
away;далеко;əˈweɪ;
axiomatic;аксиоматический;ˌæksiəˈmætɪk;
banned;запрещен;bænd;
barrier;барьер;ˈbɛriər;
basically;по сути;ˈbeɪsɪkli;
become;стали;bɪˈkəm;
becomes;становится;bɪˈkəmz;
behalf;от имени;bɪˈhæf;
behave;вести себя;bɪˈheɪv;
behaves;ведет себя;bɪˈheɪvz;
belief;вера;bɪˈlif;
below;ниже;bɪˈloʊ;
benchmark;ориентир;ˈbɛnʧˌmɑrk;
benefits;преимущества;ˈbɛnəfɪts;
bet;держать пари;bɛt;
betting;делать ставки;ˈbɛtɪŋ;
beware;остерегаться;bɪˈwɛr;
bid;делать ставку;bɪd;
bite;кусать;baɪt;
bitmain;bitmain;bitmain*;
bloated;раздутый;ˈbloʊtɪd;
block-rewards;награды за блок;block-rewards*;
blockchain-related;связанные с блокчейном;blockchain-related*;
bond;связь;bɑnd;
bonded;связанный;ˈbɑndɪd;
bonding;связь;ˈbɑndɪŋ;
borrow;одолжить;ˈbɑˌroʊ;
breaches;нарушения;ˈbriʧɪz;
bribery;взяточничество;ˈbraɪbəri;
bring;приносить;brɪŋ;
broadcast;транслировать;ˈbrɔdˌkæst;
broadcasting;вещание;ˈbrɔdˌkæstɪŋ;
broader;шире;ˈbrɔdər;
built;построен;bɪlt;
burdened;обремененный;ˈbərdənd;
bvjun;Bvjun;bvjun*;
by-proposition;побочное предложение;by-proposition*;
byzantine;византийский;ˈbɪzənˌtin;
camouflage;камуфляж;ˈkæməˌflɑʒ;
care;забота;kɛr;
carried;унесенный;ˈkɛrid;
carry;нести;ˈkɛri;
cash-grab;получение наличных;cash-grab*;
censorship;цензура;ˈsɛnsərˌʃɪp;
censorship-resistant;устойчивый к цензуре;censorship-resistant*;
certain;определенный;ˈsərtən;
chargeback;возвратный платеж;chargeback*;
chips;чипсы;ʧɪps;
chunks;куски;ʧəŋks;
circuits;схемы;ˈsərkəts;
claim;требовать;kleɪm;
claims;претензии;kleɪmz;
clause;пункт;klɔz;
coarse-grained;крупнозернистый;coarse-grained*;
coat;Пальто;koʊt;
coindesk;Coindesk;coindesk*;
coined;выдуманный;kɔɪnd;
collateral;залог;kəˈlætərəl;
collecte;собирать;collecte*;
collectively;коллективно;kəˈlɛktɪvli;
comas;кома;ˈkoʊməz;
coming;приходящий;ˈkəmɪŋ;
commodity;товар;kəˈmɑdəti;
comparatively;сравнительно;kəmˈpærətɪvˌli;
compete;конкурировать;kəmˈpit;
competing;конкурирующий;kəmˈpitɪŋ;
competition;соревнование;ˌkɑmpəˈtɪʃən;
competitive;конкурентоспособный;kəmˈpɛtɪtɪv;
composed;составлен;kəmˈpoʊzd;
computational;вычислительный;ˌkɑmpjuˈteɪʃənəl;
compute-intensive;ресурсоемкий;compute-intensive*;
concept;концепция;ˈkɑnsɛpt;
concurrently;одновременно;kənˈkərəntli;
confessed;признался;kənˈfɛst;
confidence;уверенность;ˈkɑnfədɛns;
confirmations;подтверждения;ˌkɑnfərˈmeɪʃənz;
confusion;спутанность сознания;kənfˈjuʒən;
conjunctive;соединительный;conjunctive*;
connective;соединительный;kəˈnɛktɪv;
connectives;связки;connectives*;
connectivity;возможность подключения;kənɛkˈtɪvɪti;
consensusstork;консенсус;consensusstork*;
consequence;последствие;ˈkɑnsəkwəns;
consider;рассмотреть возможность;kənˈsɪdər;
considered;считается;kənˈsɪdərd;
consistency;последовательность;kənˈsɪstənsi;
consistent;последовательный;kənˈsɪstənt;
construction;строительство;kənˈstrəkʃən;
consume;потреблять;kənˈsum;
consumes;потребляет;kənˈsumz;
consumption;потребление;kənˈsəmʃən;
continuation;продолжение;kənˌtɪnjuˈeɪʃən;
continued;продолжение;kənˈtɪnjud;
convenient;удобный;kənˈvinjənt;
converge;сходиться;kənˈvərʤ;
convergence;конвергенция;kənˈvərʤəns;
convergent;сходящийся;kənˈvərʤənt;
coop;курятник;kup;
corresponds;соответствует;ˌkɔrəˈspɑndz;
cost-benefit;затрат и выгод;cost-benefit*;
couples;пары;ˈkəpəlz;
coveted;желанный;ˈkəvətɪd;
credit;кредит;ˈkrɛdɪt;
crow;ворона;kroʊ;
cryptofex;криптофекс;cryptofex*;
cryptozombies;криптозомби;cryptozombies*;
cunningly;хитро;cunningly*;
currency;валюта;ˈkərənsi;
cypherpunk;шифропанк;cypherpunk*;
dag;даг;dæg;
decide;решать;ˌdɪˈsaɪd;
decided;решил;ˌdɪˈsaɪdɪd;
decides;решает;ˌdɪˈsaɪdz;
decreases;уменьшается;ˈdiˌkrisɪz;
decrypting;расшифровка;decrypting*;
defence;защита;dɪˈfɛns;
defi;defi;defi*;
definitely;определенно;ˈdɛfənətli;
demand;требовать;dɪˈmænd;
denotation;обозначение;denotation*;
denote;обозначать;dɪˈnoʊt;
denoted;обозначен;dɪˈnoʊtəd;
denotes;обозначает;dɪˈnoʊts;
deposit;депозит;dɪˈpɑzət;
deposit-as-collateral;залог в качестве залога;deposit-as-collateral*;
deposited;депонированный;dɪˈpɑzətəd;
deposits;депозиты;dɪˈpɑzəts;
desire;желание;dɪˈzaɪər;
desugaring;обессахаривание;desugaring*;
dictate;диктовать;ˈdɪkˌteɪt;
dining;обедать;ˈdaɪnɪŋ;
directory;каталог;dɪˈrɛktəri;
disambiguation;устранение неоднозначности;disambiguation*;
discards;отбрасывает;dɪˈskɑrdz;
discharge;увольнять;ˈdɪsˌʧɑrʤ;
discourage;обескураживать;dɪˈskərɪʤ;
discouraging;обескураживающий;dɪˈskərɪʤɪŋ;
dishonest;нечестный;dɪˈsɑnəst;
disincentivise;сдерживать;disincentivise*;
dispatched;отправлен;dɪˈspæʧt;
dispensed;выдан;dɪˈspɛnst;
dispersed;рассредоточенный;dɪˈspərst;
disrupt;нарушить;dɪsˈrəpt;
dissuade;отговорить;dɪsˈweɪd;
doles;пособия по безработице;doʊlz;
domain;домен;doʊˈmeɪn;
double-bang;двойной взрыв;double-bang*;
double-spend;двойная трата;double-spend*;
draft;черновой вариант;dræft;
drawn;нарисованный;drɔn;
dubbed;дублированный;dəbd;
due;должное;du;
earn;зарабатывать;ərn;
ease;простота;iz;
echoing;эхом;ˈɛkoʊɪŋ;
economies;экономика;ɪˈkɑnəmiz;
editorial;редакционная;ˌɛdəˈtɔriəl;
effort;усилие;ˈɛfərt;
efine;efine;efine*;
either;либо;ˈiðər;
elections;выборы;ɪˈlɛkʃənz;
eliminate;Устранить;ɪˈlɪməˌneɪt;
emerged;появился;ˈimərʤd;
emphasize;подчеркнуть;ˈɛmfəˌsaɪz;
encapsulate;инкапсулировать;ɛnˈkæpsəˌleɪt;
encrypting;шифрование;encrypting*;
encryption;шифрование;ɛnˈkrɪpʃən;
endeavors;усилия;ɪnˈdɛvərz;
enforce;принуждать;ɛnˈfɔrs;
enforcement;принуждение;ɛnˈfɔrsmənt;
engaged;увлеченный;ɪnˈgeɪʤd;
enough;достаточно;ɪˈnəf;
ensure;гарантировать;ɪnˈʃʊr;
enterprise;предприятие;ˈɛnərˌpraɪz;
enterprise-class;корпоративный класс;enterprise-class*;
enticing;соблазнительный;ɛnˈtaɪsɪŋ;
entire;весь;ɪnˈtaɪər;
entities;сущности;ˈɛntɪtiz;
entity;юридическое лицо;ˈɛntɪti;
entries;записи;ˈɛntriz;
entry;Вход;ˈɛntri;
environmental;относящийся к окружающей среде;ɪnˌvaɪrənˈmɛnəl;
equipped;оборудованный;ɪkˈwɪpt;
equivocation;двусмысленность;ɪkwɪvəˈkeɪʃən;
eradicate;искоренить;ɪˈrædəˌkeɪt;
escrow-like;подобный условному депонированию;escrow-like*;
essentially;по сути;ɛˈsɛnʃəli;
established;учредил;ɪˈstæblɪʃt;
establishes;устанавливает;ɪˈstæblɪʃɪz;
ethash;Ethash;ethash*;
ether;эфир;ˈiθər;
eventually;в конце концов;ɪˈvɛnʧəwəli;
ever;Когда-либо;ˈɛvər;
everyone;все;ˈɛvriˌwən;
everything;все;ˈɛvriˌθɪŋ;
evidence;свидетельство;ˈɛvədəns;
exactly;точно;ɪgˈzæktli;
except;Кроме;ɪkˈsɛpt;
exclamation;восклицание;ˌɛkskləˈmeɪʃən;
