abides;соблюдает редакционная;əˈbaɪdz
above;выше;əˈbəv
accomplish;выполнить;əˈkɑmplɪʃ
accountability;подотчетность;əˈkaʊntəˌbɪlɪti
accounting;учет;əˈkaʊnɪŋ
achieve;достигнуть;əˈʧiv
achieved;достигнуто;əˈʧivd
ack;подтверждение;æk
acknowledgement;подтверждение;ækˈnɑlɪʤmənt
acknowledgment;признание;ækˈnɑlɪʤmənt
acquiring;ведет себя;əkˈwaɪərɪŋ
across;поперек;əˈkrɔs
act;действовать;ækt
actively;активно;ˈæktɪvli
actor;действующий;ˈæktər
actors;акторы;ˈæktərz
acts;действия;ækts
adjacent;смежный;əˈʤeɪsənt
adoption;принятие;əˈdɑpʃən
advancements;достижения;ədˈvænsmənts
against;против;əˈgɛnst
aim;цель;eɪm
akin;родственный;ˈeɪkɪn
allotted;выделено;əˈlɑtɪd
almost;почти;ˈɔlˌmoʊst
along;вдоль;əˈlɔŋ
alter;переделывать;ˈɔltər
alteration;изменение;ˌɔltərˈeɪʃən
altering;изменение;ˈɔltərɪŋ
although;хотя;ˌɔlˈðoʊ
ambitious;амбициозный;æmˈbɪʃəs
among;офшорный;əˈməŋ
amount;количество;əˈmaʊnt
antminer;анти-майнер;antminer*
any;любой;ˈɛni
anyone;любой;ˈɛniˌwən
apart;отдельно;əˈpɑrt
apologized;извинился;əˈpɑləˌʤaɪzd
appeal;обращение;əˈpil
appear;появиться;əˈpɪr
approach;пальто;əˈproʊʧ
arbitrary;просто;ˈɑrbɪˌtrɛri
archiving;нарушение;archiving*
aren;арен;ˈɑrən
argue;спорить;ˈɑrgju
around;вокруг;əraʊnd
art;произведение искусства;ɑrt
artwork;поддающийся проверке;ˈɑrtˌwərk
asics;асики;ˈæzɪks
aside;уязвимости;əˈsaɪd
asset;актив;ˈæˌsɛt
assets;активы;ˈæˌsɛts
assume;предполагать;əˈsum
assumption;допущение;əˈsəmpʃən
assure;гарантировать;əˈʃʊr
asterisk;наоборот;ˈæstərɪsk
attenuating;выражение oses;attenuating*
attenuation;затухание;attenuation*
attenuators;аттенюаторы;attenuators*
attest;засвидетельствовать;əˈtɛst
attractors;аттракторы;attractors*
authenticity;привязано;ˌɔθənˈtɪsɪti
authority;авторитет;əˈθɔrəti
autonomous;автономно;ɔˈtɑnəməs
avoid;избегать;əˈvɔɪd
awaited;ожидал;əˈweɪtɪd
awarded;награжден;əˈwɔrdɪd
awards;награды;əˈwɔrdz
away;регулируемый;əˈweɪ
axiomatic;аксиоматический;ˌæksiəˈmætɪk
banned;запрещен;bænd
barrier;барьер;ˈbɛriər
basically;в основном;ˈbeɪsɪkli
become;стать;bɪˈkəm
becomes;становится;bɪˈkəmz
behalf;от имени;bɪˈhæf
behave;вести себя;bɪˈheɪv
behaves;когда-либо;bɪˈheɪvz
belief;вера;bɪˈlif
below;ниже;bɪˈloʊ
benchmark;эталон;ˈbɛnʧˌmɑrk
benefits;значительно;ˈbɛnəfɪts
bet;пари;bɛt
betting;пари;ˈbɛtɪŋ
beware;остерегайтесь;bɪˈwɛr
bid;ставка;bɪd
bite;утварь;baɪt
bitmain;битмэйн;bitmain*
bloated;раздутый;ˈbloʊtɪd
block-rewards;награды за блок;block-rewards*
blockchain-related;связанные с блокчейном;blockchain-related*
bond;связь;bɑnd
bonded;связанный;ˈbɑndɪd
bonding;привязка;ˈbɑndɪŋ
borrow;заем;ˈbɑˌroʊ
breaches;отмывание;ˈbriʧɪz
bribery;взяточничество;ˈbraɪbəri
bring;приносить;brɪŋ
broadcast;трансляция;ˈbrɔdˌkæst
broadcasting;трансляция;ˈbrɔdˌkæstɪŋ
broader;более широкий;ˈbrɔdər
built;охрана;bɪlt
burdened;обремененный;ˈbərdənd
bvjun;bvjun;bvjun*
by-proposition;побочное предложение;by-proposition*
byzantine;византийский;ˈbɪzənˌtin
camouflage;нарушители закона;ˈkæməˌflɑʒ
care;забота;kɛr
carried;осуществлено;ˈkɛrid
carry;несут;ˈkɛri
cash-grab;захват денег;cash-grab*
censorship;цензура;ˈsɛnsərˌʃɪp
censorship-resistant;юридическое лицо;censorship-resistant*
certain;определенный;ˈsərtən
chargeback;возврат платежа;chargeback*
chips;ци ps;ʧɪps
chunks;фрагменты;ʧəŋks
circuits;схемы;ˈsərkəts
claim;урегулирование;kleɪm
claims;гарантия;kleɪmz
clause;отбрасывает;klɔz
coat;вызвано;koʊt
coindesk;Coindesk;coindesk*
coined;придумано;kɔɪnd
collateral;залог;kəˈlætərəl
comas;кома;ˈkoʊməz
coming;прибытие;ˈkəmɪŋ
commodity;товар;kəˈmɑdəti
comparatively;сравнительно;kəmˈpærətɪvˌli
compete;конкурируют;kəmˈpit
competing;конкуренция;kəmˈpitɪŋ
competition;конкуренция;ˌkɑmpəˈtɪʃən
competitive;конкурентоспособно;kəmˈpɛtɪtɪv
composed;составленные;kəmˈpoʊzd
computational;вычислительный;ˌkɑmpjuˈteɪʃənəl
compute-intensive;интенсивные вычисления;compute-intensive*
concept;концепция;ˈkɑnsɛpt
concurrently;приобретение;kənˈkərəntli
confessed;признался;kənˈfɛst
confidence;уверенность;ˈkɑnfədɛns
confirmations;усилия;ˌkɑnfərˈmeɪʃənz
connective;предотвращает;kəˈnɛktɪv
connectives;обязательно;connectives*
connectivity;возможность подключения;kənɛkˈtɪvɪti
consensusstork;консенсуссторк;consensusstork*
consequence;одновременно;ˈkɑnsəkwəns
consider;рассматривать;kənˈsɪdər
considered;считается;kənˈsɪdərd
consistency;последовательность;kənˈsɪstənsi
consistent;последовательный;kənˈsɪstənt
construction;конструкция;kənˈstrəkʃən
consume;потребление;kənˈsum
consumes;потребляет;kənˈsumz
consumption;потребление;kənˈsəmʃən
continuation;точка с запятой;kənˌtɪnjuˈeɪʃən
continued;продолжающийся;kənˈtɪnjud
converge;конвергенция;kənˈvərʤ
convergence;конвергенция;kənˈvərʤəns
convergent;конвергентный;kənˈvərʤənt
coop;разоблачение;kup
corresponds;соответствует;ˌkɔrəˈspɑndz
cost-benefit;рентабельность;cost-benefit*
couples;пары;ˈkəpəlz
coveted;желанный;ˈkəvətɪd
credit;кредит;ˈkrɛdɪt
crow;ворона;kroʊ
cryptofex;криптофекс;cryptofex*
cryptozombies;криптозомби;cryptozombies*
cunningly;хитрость;cunningly*
currency;валюта;ˈkərənsi
cypherpunk;шифропанк;cypherpunk*
dag;dag;dæg
decide;в стороне;ˌdɪˈsaɪd
decided;решено;ˌdɪˈsaɪdɪd
decides;решает;ˌdɪˈsaɪdz
decreases;уменьшается;ˈdiˌkrisɪz
decrypting;дешифрование;decrypting*
defence;защита;dɪˈfɛns
defi;дефи;defi*
definitely;определенно;ˈdɛfənətli
demand;спрос;dɪˈmænd
denotation;обозначение;denotation*
denoted;ни;dɪˈnoʊtəd
denotes;обозначает;dɪˈnoʊts
deposit;депозит;dɪˈpɑzət
deposit-as-collateral;депозит в качестве залога;deposit-as-collateral*
deposited;депонировать;dɪˈpɑzətəd
deposits;депозиты;dɪˈpɑzəts
desire;желание;dɪˈzaɪər
desugaring;звездочка;desugaring*
dictate;диктовать;ˈdɪkˌteɪt
dining;сохраняется;ˈdaɪnɪŋ
directory;каталог;dɪˈrɛktəri
discards;подстановочный знак;dɪˈskɑrdz
discharge;выполнение;ˈdɪsˌʧɑrʤ
discourage;обескураживать;dɪˈskərɪʤ
discouraging;обескураживающий;dɪˈskərɪʤɪŋ
dishonest;нечестные;dɪˈsɑnəst
disincentivise;сдерживать;disincentivise*
dispatched;пересылка;dɪˈspæʧt
dispensed;выплачено;dɪˈspɛnst
dispersed;рассредоточенные;dɪˈspərst
disrupt;мошенничество;dɪsˈrəpt
dissuade;отговаривать;dɪsˈweɪd
doles;пособия по безработице;doʊlz
double-bang;двойной удар;double-bang*
double-spend;двойная трата;double-spend*
draft;черновик;dræft
drawn;привлечено;drɔn
dubbed;дублирование;dəbd
due;срок;du
earn;зарабатывают;ərn
ease;легкость;iz
echoing;повторять;ˈɛkoʊɪŋ
economies;экономику;ɪˈkɑnəmiz
editorial;дочерняя компания;ˌɛdəˈtɔriəl
effort;ожидание;ˈɛfərt
either;либо;ˈiðər
elections;уважение;ɪˈlɛkʃənz
eliminate;устранить;ɪˈlɪməˌneɪt
emerged;возник;ˈimərʤd
emphasize;подчеркивает;ˈɛmfəˌsaɪz
